X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.003279409632544465,80.17744482830774,0.961155661414395
2.0,2.0,train,0.0037969878377143887,85.4992596153995,0.9767359101823984
3.0,3.0,train,2.4309414429470727E-4,13.01606458958897,0.21398557282894903
4.0,4.0,train,9.127426091151758E-5,5.25339594105167,0.08643926686653847
5.0,5.0,train,8.556639518185025E-4,39.06447463443257,0.5715232871203773
6.0,6.0,train,6.075839152958973E-4,29.61649045773637,0.45217551436480397
7.0,7.0,train,6.817291948402546E-4,32.28060164036775,0.49096566849417345
8.0,8.0,train,8.581550718031342E-4,39.102667929874514,0.5725792103367524
9.0,9.0,train,0.00453426894042917,93.48442017267936,0.9887917732825621
10.0,10.0,train,0.005851124485612795,96.64543925248216,0.9969585704927016
11.0,11.0,train,0.004398188580526621,91.24569321190067,0.9871745298635971
12.0,12.0,train,0.004106001655509298,88.27007286672782,0.9828698743676891
13.0,13.0,train,0.0010584393185859857,45.19441549656618,0.6494892969601533
14.0,14.0,train,0.0011478686667193837,47.1789096322202,0.6792015089792798
15.0,15.0,train,0.0010880064112811917,45.579590394642075,0.6596053775251808
16.0,16.0,train,0.0014583197793192084,57.83040376185287,0.7641214053523921
17.0,17.0,train,8.863539061760258E-4,39.588182208826076,0.5843520723514217
18.0,18.0,train,0.0016804481070789728,61.292947955678656,0.8107056228065868
19.0,19.0,train,0.008758411582831275,98.14467052731229,0.999829203928529
20.0,20.0,train,0.0044744926616416755,92.5794273774189,0.9881081260502068
21.0,21.0,train,0.00418439406232578,89.51780359740307,0.9841496361367142
22.0,22.0,train,0.001975002347150266,66.90695288670197,0.8586056244397593
23.0,23.0,train,0.004091435339560421,87.85936754145771,0.9826209352667492
24.0,24.0,train,0.005187355458297352,95.49141805104068,0.9941304483641615
25.0,25.0,train,0.0022762805335000444,70.51900655376363,0.8950858227858453
26.0,26.0,train,0.004199263221000386,89.93762675990199,0.9843813636735551
27.0,27.0,train,0.0010163197419360474,43.28297612504231,0.6345571583489265
